Datum,Modell,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-01-04,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
